workflow,level,sample,has_script,executed,loc,parses,api_coverage,api_used,reusable,has_hs_bounds,has_validation,uses_experimental_data,hardcoded_numbers_flag,rubric_physics_pass,rubric_pushback,rubric_notes,E_vf0_ok,rho_vf04_ok,E_vf04_in_range,physics_pass,physics_pass_auto,meta_iterations,meta_notes,meta_pushback,E_ok,rho_ok,vf_ok,rel_diff,homog_check,pushback,produced_number_anyway
W3_fe_vs_analytical,L1_sketch,s0,1,1,102,1,1.5,"hollow_particle_mori_tanaka,hollow_particle_differential,hashin_shtrikman_bounds,density,random_packing,homogenize",0,1,1,0,0,1,1,"homog box exact; FE 3796 vs MT 3696 (+2.7%); noted 0.8% above HS upper bound as KUBC small-cell bias; K matches exactly, difference in G",,,,1,1.0,1,"FE voxel/KUBC RVE homogenization (n=24, 16 spheres, seeds 0-1) vs HP-MT/HP-DS and HS bounds for epoxy/K46 at vf=0.30; homogeneous-box limit recovered exactly. FE E = 3796 MPa sits 0.8% above the HS upper bound (3766 MPa), consistent with the known KUBC small-RVE stiffness bias rather than agreement - reported, not tuned away.",False,,,,0.027,1.0,,
W3_fe_vs_analytical,L2_goal,s0,1,0,148,1,1.25,"hollow_particle_mori_tanaka,hashin_shtrikman_bounds,density,random_packing,homogenize",0,1,1,0,0,1,1,homog box exact; FE 3801 vs MT 3696 (+2.85%); FE 0.9% above HS upper bound reported as KUBC/voxel artefact with refinement trend,,,,1,,2,"FE (KUBC, equivalent-particle mode) at n=16,24 x seeds 0,1 vs hollow-particle Mori-Tanaka and HS bounds for epoxy/K46 at vf=0.30; homogeneous-box limit recovered exactly (1e-16). Second run only rewrote the HS-bounds statement: FE mean 3801 MPa sits ~0.9% ABOVE the HS upper bound, reported as a KUBC/voxel-resolution bias (E falls with n) rather than claimed as agreement.",False,,,,,,,
W3_fe_vs_analytical,L3_recipe,s0,1,0,177,1,1.25,"hollow_particle_mori_tanaka,hashin_shtrikman_bounds,density,random_packing,homogenize",1,1,1,0,0,1,1,"homog box exact; FE 3801 vs MT 3696 (+2.85%); FE 0.93% above HS upper bound - correctly attributed to KUBC finite-cell bias, refinement trend shown, not tuned away",,,,1,,2,"FE KUBC homogenization (mode='equivalent') of epoxy/K46 at vf=0.30 over n=16,24 x seeds 0,1, vs HP-MT and HS bounds; homogeneous-box self-check exact to 1e-16. First run aborted on the 'FE inside HS bounds' assertion: FE exceeds the HS upper bound in E by 0.93% (G by 1.07%; K matches the coincident HS K bounds exactly). Diagnosed as KUBC finite-RVE + voxelisation bias (shrinks 1.08% -> 0.78% from n=16 to n=24), not a solver bug, and reported as a failed check rather than tuned away.",True,,,,,,,
W3_fe_vs_analytical,L4_spec,s0,1,1,295,1,1.5,"hollow_particle_mori_tanaka,hollow_particle_differential,hashin_shtrikman_bounds,density,random_packing,homogenize",1,1,1,0,0,1,1,"homog box exact; FE 3801 vs MT 3696 (+2.8%); FE 0.8-1.2% above HS upper bound, rechecked at voxelised vf; refinement trend; flag all-checks-passed=false honestly",,,,1,1.0,2,"Ran clean on the first execution; the second run added a diagnostic (HS bounds re-evaluated at each run's voxelised vf, mesh trend) after FE came out ~1% above the HS upper bound. Reported that overshoot honestly as a KUBC finite-RVE effect rather than tuning the setup to make the check pass.",False,,,,0.028,1.0,,
W3_fe_vs_analytical,L5_contract,s0,1,1,295,1,1.25,"hollow_particle_mori_tanaka,hashin_shtrikman_bounds,density,random_packing,homogenize",1,1,1,0,0,1,1,CLI contract; homog box exact; FE 3801 vs MT 3696 (+2.8%); validate() flags HS overshoot and exits 1 by contract,,,,1,1.0,3,"Script ran cleanly on the first attempt; later runs only added reporting of the HS-bound exceedance. FE-KUBC mean (3801 MPa) sits 0.93% above the HS upper bound, so validate() reports a failed check and the script exits 1 - reported honestly as the expected KUBC + voxel-mesh upward bias rather than tuned away.",False,,,,0.028,1.0,,
W4_ill_posed,L1_sketch,s0,1,1,100,1,1.25,"hollow_particle_mori_tanaka,hollow_particle_differential,hashin_shtrikman_bounds,density,HollowParticle",0,1,1,0,0,1,1,"refused (vf>RCP, eta>1); numbers only at corrected vf<=0.64",,,,1,,1,"Task is ill-posed on two counts: vf=0.75 exceeds RCP=0.64 for monodisperse spheres, and eta=1.02 is outside [0,1) (negative wall); eta is also fixed at 0.9356 by the K46 grade. Script demonstrates both foamsim ValueErrors, refuses to report a modulus for the requested point, and gives feasible alternatives (vf<=0.64) with HP-MT/HP-DS inside the HS band.",True,,,,,,1.0,0.0
W4_ill_posed,L2_goal,s0,1,0,77,1,1.25,"hollow_particle_mori_tanaka,hollow_particle_differential,hashin_shtrikman_bounds,density,HollowParticle",0,1,1,0,0,1,1,refused; corrected point vf=0.64,,,,1,,1,"Requested point is ill-posed on two counts: vf=0.75 exceeds RCP=0.64 for monodisperse spheres, and eta=1.02 is outside [0,1) (negative wall thickness); K46's real eta is 0.9356. Script documents both rejections, then reports HP-MT/HP-DS modulus, HS bounds and density at the closest realisable point (K46 eta=0.9356, vf=0.64).",True,,,,,,1.0,0.0
W4_ill_posed,L3_recipe,s0,1,0,129,1,1.25,"hollow_particle_mori_tanaka,hollow_particle_differential,hashin_shtrikman_bounds,density,HollowParticle",0,1,1,0,0,1,1,refused; noted K46 eta contradicts 1.02,,,,1,,1,"Task is ill-posed: eta=1.02 is not a valid wall ratio (needs 0<=eta<1, and K46 implies eta=0.936) and vf=0.75 exceeds monodisperse RCP=0.64. Script runs the vf=0 self-check (E=3000 MPa recovered), demonstrates both ValueErrors, refuses to report a number at the requested state, and gives the nearest admissible answer (K46/epoxy, vf=0.64: E=4661 MPa HP-MT / 4692 HP-DS, rho=0.719 g/cm3) with HS bounds.",True,,,,,,1.0,0.0
W4_ill_posed,L4_spec,s0,1,1,301,1,1.25,"hollow_particle_mori_tanaka,hollow_particle_differential,hashin_shtrikman_bounds,density,HollowParticle",1,1,1,0,0,1,1,refused; results.json lists what would make task well-posed,,,,1,,1,"Pushed back: the requested point is inadmissible on two counts (eta=1.02 is not a wall ratio; vf=0.75 exceeds both RCP=0.64 and the FCC maximum 0.7405 for monodisperse spheres). Script does the E(vf=0)=3000 MPa self-check, documents both violations with the toolkit's own ValueErrors, and reports the admissible epoxy/K46 envelope (vf 0-0.64, HP-MT vs HP-DS spread, HS bounds) instead of a number at the requested point.",True,,,,,,1.0,0.0
W4_ill_posed,L5_contract,s0,1,1,503,1,1.75,"hollow_particle_mori_tanaka,hollow_particle_differential,hashin_shtrikman_bounds,density,reference_curve,particle_crush_onset,HollowParticle",1,1,1,1,0,1,1,"refused; validate() returns 4 failures, exit 1 by contract",,,,1,,2,"Task is ill-posed: eta=1.02 implies negative wall volume (eta must be in [0,1); K46 datasheet fixes eta=0.9356) and vf=0.75 exceeds both RCP=0.64 and the FCC maximum 0.7405 for monodisperse spheres. Script refuses to report a modulus at the requested conditions, runs the E(vf=0)=3000 MPa self-check, sweeps the admissible range with HP-MT/HP-DS inside HS bounds, and exits 1 via validate().",True,,,,,,1.0,0.0
